"","text","emotion"
"291","kalo disuntik vaksin jadi titan aku mau deh bosan juga jadi manusia gni2 aja berhasil kagak capek menuhin tuntutsn idup id…","sadness"
"292","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"293","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"294","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"295","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"296","bengek hyungg jokowi jadi titan abis vaksin <U+0001F62D>","surprise"
"297","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"298","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"299","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"300","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"301","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"302","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"303","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"304","kalo disuntik vaksin jadi titan aku mau deh bosan juga jadi manusia gni2 aja berhasil kagak capek menuhin tuntutsn idup id…","sadness"
"305","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"306","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"307","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"308","mending kamu sini saya kasih vaksin titan","anger"
"309","abang aku bilang kalau pas udah disuntik vaksin konoha katanya bakal berubah jadi titan masa iya kalau iya keren sih","surprise"
"310","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"311","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"312","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"313","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"314","aaaaaaa ajlann gw juga kangen bgt pagi pagi nontonin perform idol abis itu dilanjut ngegibah…","fear"
"315","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"316","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"317","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"318","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"319","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"320","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"321","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"322","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"323","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"324","grup keluarga gw isinya bahas vaksin covid yg bisa bikin orang jadi zombie
ck gw mau nya jadi titan","sadness"
"325","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"326","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"327","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"328","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"329","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"330","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"331","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"332","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"333","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"334","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"335","ngobrolin mun disuntik vaksin jadi titan apa moal","fear"
"336","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"337","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"338","abis nonton attack on titan eps 1 season 1 trus keinget hoax disuntik vaksin jadi titanaku ngakak wkwkwkwk","anger"
"339","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"340","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"341","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"342","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"343","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"344","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"345","biasanya org2 yg gapake masker anjrit begini giliran vaksin takut mati lah jd titan lah","surprise"
"346","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"347","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"348","kalo disuntik vaksin jadi titan aku mau deh bosan juga jadi manusia gni2 aja berhasil kagak capek menuhin tuntut…","sadness"
"349","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"350","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"351","abis vaksin kok berasa pengen jadi titan ya","surprise"
"352","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"353","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"354","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"355","jangan takut vaksin kgk bakal jadi titan tapi jadi adem sari","surprise"
"356","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"357","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"358","rara pengen vaksin biar jadi titan biar ga ikut sbmptn

<U+0001F441><U+0001F445><U+0001F441>","surprise"
"359","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"360","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"361","di vaksin bikin orang mnjadi titan","surprise"
"362","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"363","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"364","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"365","temen gua kalo di suntik vaksin bakalan berubah jadi titan gak sih
soalnya mirip 
erenjaeger
titan…","fear"
"366","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"367","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"368","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"369","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"370","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"371","emak lg urus berkas2 ku tanya ini buat apa dia jawab buat bsok vaksin kutanya lg siapa yg mau vaksinsemua ak…","sadness"
"372","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"373","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"374","cara daftar vaksin biar jadi attack titan gimana ya","anger"
"375","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"376","tolong jokes suntik vaksin jadi titan lucunya hari itu doang please stop tolong berhenti udah udah","joy"
"377","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"378","ttapi kan vaksin titan itu lucu bro aaaaaaaa","disgust"
"379","ibuku dpt vaksin gratis semoga dapet armored titan kalo ga warhammer amin <U+0001F64F><U+0001F607>","fear"
"380","normies kalau sok sok an wibu taunya cuman jokes aot terus ada foto pak jokowi lagi vaksin malah dicandain vaksin titan","surprise"
"381","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"382","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"383","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"384","pdg nio suntik vaksin tapi takuik soalnyo ado rumor kalo suntik vaksin beko jadi titan baa lai tu sanak","sadness"
"385","takut kalo di vaksin jadi titan","surprise"
"386","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"387","apakah habis di vaksin bisa berubah jadi titan <U+0001F923>","surprise"
"388","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"389","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"390","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"391","maka dari itu lebih baik kalian mau di suntik vaksin sapa tau jadi titan terus hancurkan dunia","sadness"
"392","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"393","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"394","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"395","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"396","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"397","vaksin di tempat ak wajib gais nanti kalau aku ga ngetweet lg berai udh berubah jadi titan bye","surprise"
"398","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"399","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"400","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"401","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"402","fuck lo di vaksin gabakalan juga anjng ngerubah lo jadi titanzombie buat apa cina nge ciptain vaksin kalo cuma ng…","fear"
"403","masih ragu buat suntik vaksin
takut jadi titan","surprise"
"404","njir first titan setelah di vaksin","anger"
"405","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"406","sekali lagi informasi untuk masyarakat yang disuntik vaksin tidak akan menjadi titan <U+0001F4E2><U+0001F4E2>","surprise"
"407","what if kalau semua yg ambil suntikan vaksin ni jadi titan","surprise"
"408","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"409","pada ga bosen apa ya segala hal dikaitkan sama titan

suntik vaksin jadi titan salaman jadi titan","anger"
"410","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"411","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"412","cuba bayangkan yang vaksin covid tu sebenarnya titan shifter injection","fear"
"413","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"414","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"415","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"416","pada ribut vaksin covic bikin jadi titan padahal titan udah ada salepnya sendiri","surprise"
"417","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"418","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"419","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"420","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"421","kalo disuntik vaksin nanti jadi titan ris wkwkwk","joy"
"422","saat di suntik vaksin 

siapin silet steril biar ga kena tetanus selesai d suntik selang bbrapa saat goreskan s…","disgust"
"423","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"424","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"425","udah gak ada lagi ini jokes di suntik vaksin berubah jadi titan hufttt <U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F>","anger"
"426","orang indo aneh jga sih bisabisanya percaya jadi titan klo di vaksin sksksk","anger"
"427","gitu ae terus ampe orang yang udah di vaksin jadi titan","surprise"
"428","ampe kominfo bikin ginian dong pls yg pada percaya kalo bakal beneran jd titan pas di suntik vaksin emg gapunya go…","surprise"
"429","deg2an mau vaksin nanti kalo aku berubah jadi titan kita tetep temenan yaaa","sadness"
"430","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"431","nangis banget serius ini tersebar berita setelah vaksin jadi titan sampai kemkominfo bilang gini di live 

kehabi…","anger"
"432","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"433","iya gue kan nanti menggiring opinivaksin covid bisa merubah manusia jadi titan kolosal","fear"
"434","gw tetep ga mau dj vaksin bukan takut jadi titan cuma gw ga mau hidup 13 tahun doang","sadness"
"435","ngnteni sng di vaksin dadi titan","surprise"
"436","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"437","potret salah satu warga yang terkena imbas dari vaksin dan tidak mendapatkan titan shifter","disgust"
"438","yang dah di vaksin beneran jadi titan ga","surprise"
"439","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"440","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"441","titan hasil suntik vaksin <U+0001F602>","surprise"
"442","vaksin ah siapa tau dapat titan armored","fear"
"443","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"444","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"445","vaksin bisa bikin kita jadi titan
terus anda anda yang mabok nya minum amer gimana tuhh
hayoo loohh

attackontitan","surprise"
"446","semoga program vaksin bisa ngebantu kita untuk menghadapi pandemi ini ya

grab juga ngedukung program vaksin ini biar kalian…","anger"
"447","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"448","klo km berubah jadi titan stelah d vaksin gmna","surprise"
"449","tweet ini perihal menanggapi anak penolak vaksin krn takut jd titan","anger"
"450","levi melakukan penyamaran ke indonesia utk membasmi titan vaksin","surprise"
"451","sebelum vaksinsesudah vaksin","surprise"
"452","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"453","suntikan vaksin itu berisi cairan titan murni atau titan shifter ya","surprise"
"454","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"455","kalo di suntik vaksin pengenya sih jadi armored titan kalo ngga war hammer titan tapi attack titan juga boleh banget si buat invasi<U+0001F92D>","fear"
"456","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"457","kalo ada vaksin yang bisa ngerubahmanusia jadi titan saya mau dong pak sekalian mau milih titan shifter…","sadness"
"458","aku
ngakak gegara meme wibu abis vaksin jadi titan

temen
lu ga percaya sama vaksin ya

<U+0001F610><U+0001F610><U+0001F610><U+0001F610><U+0001F610><U+0001F610>","surprise"
"459","gw ga mau di vaksinbukan takut jadi titancuma gw ga mau hidup 13 tahun doang","sadness"
"460","gw ga mau di vaksinbukan takut jadi titancuma gw ga mau hidup 13 tahun doang","sadness"
"461","untuk masyarakat yang disuntik vaksin tenang aja ngga bakal jadi titan snk","surprise"
"462","tak hanya vaksin sinovac indonesia juga akan memakai vaksinvaksin berikut ini salah satunya vaksin merah putih berik…","anger"
"463","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"464","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"465","padahal pusing pegel demam itu efek vaksin yang wajar terjadi dan ga semua efek terjadi ke setiap orang tiap or…","sadness"
"466","pengen suntik vaksin tapi konspirasi bilang suntik titan dari tiang listrik jadi tower sinyal ni badan ngeri gua<U+0001F605>
candacovid","fear"
"467","di suntik vaksin akan membuat anda menjadi titan abnormal <U+0001F60C>","disgust"
"468","mungkin mbaknya habis disuntik vaksin titan <U+0001F62D>","surprise"
"469","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"470","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"471","sampe kapan nih fans aot mau nimpalin konten vaksin pake gambar suntikan aot sama titan telanjang kabarin aja biar sama s…","sadness"
"472","sampe kapan nih fans aot mau nimpalin konten vaksin pake gambar suntikan aot sama titan telanjang kabarin aja biar sama s…","sadness"
"473","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"474","suntik vaksin di bilang bs jadi titan ntar season 4 kalo udh ada zekes wine minum anggur jd titan","joy"
"475","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"476","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"477","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"478","ayok lah vaksin ayokk gak po po lah dadi titan penting gak dadi levi beban soale haha","surprise"
"479","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"480","boleh vaksin dulu ga mau jadi titan cape jadi manusia","sadness"
"481","ohh jadi dulu eren disuntik bapaknya jd dia tu kayak disuntik vaksin jd dia tu titan tp baik ooooooo keren","surprise"
"482","semoga aja mendapat serum vaksin beast titan berwujud buaya","anger"
"483","tau kok tampan tiap vaksin titan mulu bahas org","anger"
"484","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"485","langsung di vaksin titan","surprise"
"486","vaksin dulu biar jadi titan<U+0001F52B>","surprise"
"487","cuba bayangkan yang vaksin covid tu sebenarnya titan shifter injection","fear"
"488","aku setelah disuntik vaksin 
titan<U+2716><U+FE0F>
shinzo wo sasageyo <U+2611><U+FE0F><U+0001F626>","surprise"
"489","beredar rumor katanya setelah suntik vaksin covid bisa jadi titan","sadness"
"490","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"491","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"492","oh pantes ada berita bakal jadi titan kalo vaksin ternyata karena ini","anger"
"493","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"494","bapakku udah di vaksin alhamdulillah tidak menjadi titan","surprise"
"495","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"496","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"497","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"498","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"499","bener a sarieun jadi titan ceunah mun di vaksin","joy"
"500","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"501","semoga program vaksin bisa ngebantu kita untuk menghadapi pandemi ini ya

grab juga ngedukung program vaksin ini biar kalian…","anger"
"502","w gamau di vaksin pengen jadi karakter utama kalo yang lain jadi titan","surprise"
"503","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"504","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"505","ya ga gitu juga <U+0001F62D> simulasi saja nyoba nyoba kali aja kan vaksin yang diberikan ntar bukan vaksin cor…","surprise"
"506","ini kenapa sih emang ada yg percaya disuntik vaksin bakal jadi titan<U+0001F605>","anger"
"507","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"508","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"509","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"510","cuba bayangkan yang vaksin covid tu sebenarnya titan shifter injection","fear"
"511","suntik vaksin jadi titan","surprise"
"512","tapi ini penting juga sih masalahnya kan ga semua orang paham titan aot ya takutnya malah dijadiin tameng buat…","anger"
"513","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"514","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"515","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"516","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"517","pak zukowi pas disuntik vaksin yang ternyata itu dna titan","surprise"
"518","assalamualaikum
kata ilham sapa yang cita citanya di vaksinjadi titan","surprise"
"519","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"520","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"521","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"522","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"523","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"524","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"525","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"526","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"527","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"528","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"529","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"530","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"531","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"532","siapa disini yg udah di vaksin pada milih jadi titan apa euy","fear"
"533","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"534","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"535","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"536","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"537","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset","surprise"
"538","gausah mikir yang aneh aneh tentang vaksin tapi kalo jadi titan si bisa diatur","surprise"
"539","vaksin <U+0001F62D><U+0001F44C>

saat itu dia gak sengaja lagi terhubung sama ingatan pewaris attack titan yang lain bisa…","anger"
"540","aot

pas eren kruger mau suntikin vaksin titan ke grisha yeager kok udah kenal mikasa sama armin tolong pencerahannya <U+0001F62D>","sadness"
"541","sumpah niat hati bikin romcom yang isinya gombalan receh tapi apa daya ga kepikiran apaapa selain vaksin titan ga…","anger"
"542","aot

pas eren kruger mau suntikin vaksin titan ke grisha yeager kok udah kenal mikasa sama armin tolong pencerahannya <U+0001F62D>","sadness"
"543","urus aja vaksin mu titan","surprise"
"544","sunshine bagian satu 
—perkara vaksin jadi kita bakal jadi titan","disgust"
"545","ini sengaja dibikin utk mencegah boomers mikir aneh ga si <U+0001F602> kayak
titan adalah bentuk dari dajjal pokoknya j…","anger"
"546","lahir sbg manusia semoga habis di vaksin ga mati sbg titan","surprise"
"547","bapakku udah di vaksin alhamdulillah tidak menjadi titan","surprise"
"548","kalo di vaksin bisa jadi titan ga ya","surprise"
"549","mendukung vaksin dengan ketentuan dapet founding titan","surprise"
"550","imagine lo di vaksin terus dapet seifikat udah vaksin tapi tulisannya

nama lo
beast titan

fix terbaik akh…","anger"
"551","ini jadi titan yak abis disuntik vaksin wkwk","anger"
"552","yang gak mau vaksin bakal di suntik serum titan","sadness"
"553","dokter titan ynwakira2 bisa gak kalo rakyat biasa kyk sy vaksin nya beli duluanalias gak antri","anger"
"554","vaksin serangan terhadap titan","surprise"
"555","cuba bayangkan yang vaksin covid tu sebenarnya titan shifter injection","fear"
"556","cuba bayangkan yang vaksin covid tu sebenarnya titan shifter injection","fear"
"557","jangan takut vaksin kgk bakal jadi titan tapi jadi adem sari","surprise"
"558","cuba bayangkan yang vaksin covid tu sebenarnya titan shifter injection","fear"
"559","cuba bayangkan yang vaksin covid tu sebenarnya titan shifter injection","fear"
"560","jangan takut vaksin kgk bakal jadi titan tapi jadi adem sari","surprise"
"561","hayo ditingkatkan lagi literasinya kalo mau lebih lengkapnya ini aikelnyaa…","sadness"
